id,description,createdBy,createdDate,status,lastUpadatedDate,lastUpdatedBy
1,Bancos,José Luis Pérez Olguín,2022-10-12,1,2022-10-12,José Luis Pérez Olguín
2,Otros,José Luis Pérez Olguín,2022-10-12,1,2022-10-12,José Luis Pérez Olguín
3,Rebates,José Luis Pérez Olguín,2022-10-12,1,2022-10-12,José Luis Pérez Olguín
4,Socios,José Luis Pérez Olguín,2022-10-12,1,2022-10-12,José Luis Pérez Olguín
5,Venta de Activos,José Luis Pérez Olguín,2022-10-12,1,2022-10-12,José Luis Pérez Olguín
6,Ventas,José Luis Pérez Olguín,2022-10-12,1,2022-10-12,José Luis Pérez Olguín
